id,title,bibtex_id,url,doi
206,LineVul: A Transformer-Based Line-Level Vulnerability Prediction,fu_linevul_2022,https://dl-acm-org.proxy.library.nd.edu/doi/pdf/10.1145/3524842.3528452,10.1145/3524842.3528452
216,Towards a Prototype Based Explainable JavaScript Vulnerability Prediction Model,9392984,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/9392984,10.1109/ICCQ51190.2021.9392984
218,Shallow or Deep? An Empirical Study on Detecting Vulnerabilities using Deep Learning,9462962,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/9462962,10.1109/ICPC52881.2021.00034
220,Using Graph Embeddings and Machine Learning to Detect Cryptography Misuse in Source Code,9356194,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/9356194,10.1109/ICMLA51294.2020.00171
225,Representation vs. Model: What Matters Most for Source Code Vulnerability Detection,9426055,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/9426055,10.1109/SANER50967.2021.00082
228,VulBERTa: Simplified Source Code Pre-Training for Vulnerability Detection,9892280,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/9892280,10.1109/IJCNN55064.2022.9892280
258,Automatic Feature Learning for Predicting Vulnerable Software Components,54,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/8540022,10.1109/TSE.2018.2881961
272,DeepCVA: Automated Commit-Level Vulnerability Assessment with Deep Multi-Task Learning,minh_le_deepcva_2021,https://dl-acm-org.proxy.library.nd.edu/doi/pdf/10.1109/ASE51524.2021.9678622,10.1109/ASE51524.2021.9678622
273,Path-Sensitive Code Embedding via Contrastive Learning for Software Vulnerability Detection,cheng_path-sensitive_2022,https://dl-acm-org.proxy.library.nd.edu/doi/pdf/10.1145/3533767.3534371,10.1145/3533767.3534371
328,A Probabilistic Discriminative Model for Android Malware Detection with Decompiled Source code,6894210,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/6894210,10.1109/TDSC.2014.2355839
340,Adaptive and scalable android malware detection through online learning,7727508,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/7727508,10.1109/IJCNN.2016.7727508
368,Automated software vulnerability assessment with concept drift,8816739,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/8816739,10.1109/MSR.2019.00063
369,Automated software vulnerability detection with machine learning,harer2018automated,https://arxiv.org/abs/1803.04497,10.48550/arXiv.1803.04497
371,Automated vulnerability detection in source code using minimum intermediate representation learning,Li_automated_2020,https://www.mdpi.com/2076-3417/10/5/1692,10.3390/app10051692
380,Automatic Identification of Vulnerable Code: Investigations with an AST-Based Neural Network,9529451,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/9529451,10.1109/COMPSAC51774.2021.00219
389,BGNN4VD: constructing bidirectional graph neural-network for vulnerability detection,Cao_bgnn4vd_2021,https://www.sciencedirect.com/science/article/pii/S0950584921000586?casa_token=yJ61DylhXyYAAAAA:2kv6vPfT1Emiax-gkXikCJ0thK4DJCQ-gU3O9rbMy6WYs9-ACswNsLRnXCJNuG4Y9zQFKe0Egg#sec4,10.1016/j.infsof.2021.106576
398,Challenging Machine Learning Algorithms in Predicting Vulnerable JavaScript Functions,8823747,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/8823747,10.1109/RAISE.2019.00010
426,Combining graph neural networks with expert knowledge for smart contract vulnerability detection,9477066,https://ieeexplore.ieee.org/abstract/document/9477066/,10.1109/TKDE.2021.3095196
427,Combining graph-based learning with automated data collection for code vulnerability detection,9293321,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/9293321,10.1109/TIFS.2020.3044773
435,"Context-aware, adaptive and scalable android malware detection through online learning (extended version)",narayanan2017contextaware,https://arxiv.org/abs/1706.00947,10.48550/arXiv.1706.00947
452,Deep Domain Adaptation for Vulnerable Code Function Identification,8851923,https://ieeexplore.ieee.org/abstract/document/8851923,10.1109/IJCNN.2019.8851923
467,DeepBalance: Deep-Learning and Fuzzy Oversampling for Vulnerability Detection,8930093,https://ieeexplore.ieee.org/abstract/document/8930093,10.1109/TFUZZ.2019.2958558
477,Devign: Effective vulnerability identification by learning comprehensive program semantics via graph neural networks,zhou_devign_2019,https://proceedings.neurips.cc/paper/2019/hash/49265d2447bc3bbfe9e76306ce40a31f-Abstract.html,10.48550/arXiv.1909.03496
486,DroidMiner: automated mining and characterization of fine-grained malicious behaviors in android applications,Yang_droidminer_2014,https://link.springer.com/chapter/10.1007/978-3-319-11203-9_10,10.1007/978-3-319-11203-9_10
493,End-to-end prediction of buffer overruns from raw source code via neural memory networks,choi2017endtoend,https://arxiv.org/abs/1703.02458,10.48550/arXiv.1703.02458
495,Eth2Vec: learning contract-wide code representations for vulnerability detection on ethereum smart contracts,10.1145/3457337.3457841,https://dl-acm-org.proxy.library.nd.edu/doi/10.1145/3457337.3457841,10.1145/3457337.3457841
500,Exploring Software Naturalness through Neural Language Models,buratti2020exploring,https://arxiv.org/abs/2006.12641,10.48550/arXiv.2006.12641
507,Finding A Needle in a Haystack: Automated Mining of Silent Vulnerability Fixes,9678720,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/9678720,10.1109/ASE51524.2021.9678720
521,GraphEye: A Novel Solution for Detecting Vulnerable Functions Based on Graph Attention Network [C],9750460,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/9750460,10.1109/DSC53577.2021.00060
522,HERMES: Using Commit-Issue Linking to Detect Vulnerability-Fixing Commits,9825835,https://ieeexplore-ieee-org.proxy.library.nd.edu/search/searchresult.jsp?newsearch=true&queryText=HERMES:%20Using%20Commit-Issue%20Linking%20to%20Detect%20Vulnerability-Fixing%20Commits,10.1109/SANER53432.2022.00018
562,Learning to catch security patches,sawadogo2020learning,https://arxiv.org/abs/2001.09148,10.48550/arXiv.2001.09148
568,Learning to map source code to software vulnerability using code-as-a-graph,suneja2020learning,https://arxiv.org/abs/2006.08614,10.48550/arXiv.2006.08614
586,Mamadroid: detecting android malware by building markov chains of behavioral models,mariconti2017mamadroid,https://arxiv.org/abs/1612.04433,10.48550/arXiv.1612.04433
587,MANDO: Multi-Level Heterogeneous Graph Embeddings for Fine-Grained Detection of Smart Contract Vulnerabilities,nguyen2022mando,https://arxiv.org/abs/2208.13252,10.48550/arXiv.2208.13252
609,Neural software vulnerability analysis using rich intermediate graph representations of programs,Ghaffarian_neural_2021,https://www.sciencedirect.com/science/article/pii/S0020025520311579,10.1016/j.ins.2020.11.053
611,New deep learning method to detect code injection attacks on hybrid applications,Yan_new_2018,https://www.sciencedirect.com/science/article/pii/S0164121217302571,10.1016/j.jss.2017.11.001
619,On using distributed representations of source code for the detection of c security vulnerabilities,coimbra2021using,https://arxiv.org/abs/2106.01367,10.48550/arXiv.2106.01367
627,Peculiar: Smart Contract Vulnerability Detection Based on Crucial Data Flow Graph and Pre-training Techniques,9700296,https://ieeexplore.ieee.org/abstract/document/9700296,10.1109/ISSRE52982.2021.00047
665,Smart Contract Vulnerability Detection using Graph Neural Network,zhuang_smart_2020,https://www.ijcai.org/Proceedings/2020/0454.pdf,10.24963/ijcai.2020/454
666,Smart Contract Vulnerability Detection: From Pure Neural Network to Interpretable Graph Feature and Expert Pattern Fusion,liu2021smart,https://arxiv.org/abs/2106.09282,10.48550/arXiv.2106.09282
669,SOFIA: an automated security oracle for black-box testing of SQL-injection vulnerabilities,10.1145/2970276.2970343,https://dl.acm.org/doi/abs/10.1145/2970276.2970343?casa_token=X3F33lThJdUAAAAA:l2EhPPiX8tr3fomIBgKK_0-9w43ke2m-dSqCHaD6Y7xjlXAEVWYORzN5RKf3HT7b3AhqoLzKg8Y,10.1145/2970276.2970343
684,Software vulnerability detection via deep learning over disaggregated code graph representation,zhuang2021software,https://arxiv.org/abs/2109.03341,10.48550/arXiv.2109.03341
685,Software vulnerability discovery via learning multi-domain knowledge bases,8906156,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/8906156,10.1109/TDSC.2019.2954088
690,SPI: Automated Identification of Security Patches via Commits,10.1145/3468854,https://dl.acm.org/doi/abs/10.1145/3468854?casa_token=RL_uJAFXUYsAAAAA:Fn4W_U8-scWtpyaMcXWYUWTxgJiDo9Sq0-0lgkczea6Zg8Xtcdc66u3z8iCwLb3wBPtsh3mkoh4,10.1145/3468854
693,Static detection of control-flow-related vulnerabilities using graph embedding,8882745,https://ieeexplore-ieee-org.proxy.library.nd.edu/document/8882745,10.1109/ICECCS.2019.00012
704,SySeVR: A framework for using deep learning to detect software vulnerabilities,9321538,https://ieeexplore.ieee.org/abstract/document/9321538,10.1109/TDSC.2021.3051525
707,The random neural network as a bonding model for software vulnerability prediction,10.1007/978-3-030-68110-4_7,https://link.springer.com/chapter/10.1007/978-3-030-68110-4_7,10.1007/978-3-030-68110-4_7
712,Toward large-scale vulnerability discovery using machine learning,10.1145/2857705.2857720,https://dl.acm.org/doi/abs/10.1145/2857705.2857720,10.1145/2857705.2857720
713,Towards automated reentrancy detection for smart contracts based on sequential models,8970384,https://ieeexplore.ieee.org/abstract/document/8970384,10.1109/ACCESS.2020.2969429
730,Using complexity coupling and cohesion metrics as early indicators of vulnerabilities,Chowdhury_using_2011,https://www.sciencedirect.com/science/article/pii/S1383762110000615?casa_token=5QyS9NRBNCcAAAAA:jFtsXvZFLj6OZQlIi_3YN5npMa32TbRJRnBH8lPQfnn8INS13osNJrzN7kylvSfDmFzZF5HA,10.1016/j.sysarc.2010.06.003
734,VCCfinder: Finding potential vulnerabilities in open-source projects to assist code audits,10.1145/2810103.2813604,https://dl.acm.org/doi/abs/10.1145/2810103.2813604,10.1145/2810103.2813604
735,VELVET: a noVel Ensemble Learning approach to automatically locate VulnErable sTatements,9825786,https://ieeexplore.ieee.org/abstract/document/9825786,10.1109/SANER53432.2022.00114
736,VulCNN: An Image-inspired Scalable Vulnerability Detection System,10.1145/3510003.3510229,https://dl.acm.org/doi/abs/10.1145/3510003.3510229,10.1145/3510003.3510229
737,VulDeeLocator: A Deep Learning-based Fine-grained Vulnerability Detector,9416836,https://ieeexplore.ieee.org/abstract/document/9416836,10.1109/TDSC.2021.3076142
738,VulDeePecker: A deep learning-based system for multiclass vulnerability detection,Li_vuldeepecker_2018,https://arxiv.org/abs/1801.01681,10.14722/ndss.2018.23158
739,Vuldigger: A just-in-time and cost-aware tool for digging vulnerability-contributing changes,8254428,https://ieeexplore.ieee.org/abstract/document/8254428/,10.1109/GLOCOM.2017.8254428
740,Vulnerability detection for source code using contextual LSTM,8599360,https://ieeexplore.ieee.org/abstract/document/8599360,10.1109/ICSAI.2018.8599360
742,Vulnerability Detection with Fine-Grained Interpretations,10.1145/3468264.3468597,https://dl.acm.org/doi/abs/10.1145/3468264.3468597,10.1145/3468264.3468597
743,Vulnerability Prediction From Source Code Using Machine Learning,9167194,https://ieeexplore.ieee.org/abstract/document/9167194,10.1109/ACCESS.2020.3016774
744,VulSniper: Focus Your Attention to Shoot Fine-Grained Vulnerabilities,duan_vulsniper_2019,https://www.ijcai.org/Proceedings/2019/0648.pdf,10.24963/ijcai.2019/648
856,Applying Deep Learning Techniques for Android Malware Detection,10.1145/3264437.3264476,https://doi.org/10.1145/3264437.3264476,10.1145/3264437.3264476
858,Discovering Software Vulnerabilities Using Data-Flow Analysis and Machine Learning,10.1145/3230833.3230856,https://doi.org/10.1145/3230833.3230856,10.1145/3230833.3230856
891,Transformer-Based Language Models for Software Vulnerability Detection,10.1145/3564625.3567985,https://doi.org/10.1145/3564625.3567985,10.1145/3564625.3567985
900,Improving Accuracy of Android Malware Detection with Lightweight Contextual Awareness,10.1145/3274694.3274744,https://doi.org/10.1145/3274694.3274744,10.1145/3274694.3274744
904,Mining SQL Injection and Cross Site Scripting Vulnerabilities Using Hybrid Program Analysis,6606610,,10.1109/ICSE.2013.6606610
908,Android Malware Prediction Using Extreme Learning Machine with Different Kernel Functions,10.1145/3340422.3343639,https://doi.org/10.1145/3340422.3343639,10.1145/3340422.3343639
911,Vulnerability Feature Extraction Model for Source Code Based on Deep Learning,9603753,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9603753,10.1109/ICCNEA53019.2021.00016
913,SCEVD: Semantic-enhanced Code Embedding for Vulnerability Discovery,10063706,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10063706,10.1109/TrustCom56396.2022.00217
915,Message Passing Graph Neural Networks for Software Security Vulnerability Detection,9933216,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9933216,10.1109/ICCNEA57056.2022.00041
916,A Hierarchical Deep Neural Network for Detecting Lines of Codes with Vulnerabilities,10077034,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10077034,10.1109/QRS-C57518.2022.00011
918,Web Application Vulnerability Prediction Using Hybrid Program Analysis and Machine Learning,6963442,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6963442,10.1109/TDSC.2014.2373377
920,Automated Vulnerable Codes Mutation through Deep Learning for Variability Detection,9892444,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9892444,10.1109/IJCNN55064.2022.9892444
921,Can Deep Learning Models Learn the Vulnerable Patterns for Vulnerability Detection?,9842744,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9842744,10.1109/COMPSAC54236.2022.00142
922,AVDHRAM: Automated Vulnerability Detection based on Hierarchical Representation and Attention Mechanism,9443902,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9443902,10.1109/ISPA-BDCloud-SocialCom-SustainCom51426.2020.00068
925,$\mu$μVulDeePecker: A Deep Learning-Based System for Multiclass Vulnerability Detection,8846081,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8846081,10.1109/TDSC.2019.2942930
926,Self-Attention based Automated Vulnerability Detection with Effective Data Representation,9644777,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9644777,10.1109/ISPA-BDCloud-SocialCom-SustainCom52081.2021.00126
933,An Efficient Vulnerability Extrapolation Using Similarity of Graph Kernel of PDGs,9343065,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9343065,10.1109/TrustCom50675.2020.00229
934,SEVulDet: A Semantics-Enhanced Learnable Vulnerability Detector,9833680,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9833680,10.1109/DSN53405.2022.00026
935,Vulnerability Detection in C/C++ Source Code With Graph Representation Learning,9376145,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9376145,10.1109/CCWC51732.2021.9376145
937,VulDeBERT: A Vulnerability Detection System Using BERT,9985089,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9985089,10.1109/ISSREW55968.2022.00042
939,Detecting Software Code Vulnerabilities Using 2D Convolutional Neural Networks with Program Slicing Feature Maps,10092211,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10092211,10.1109/AIPR57179.2022.10092211
941,Inductive Vulnerability Detection via Gated Graph Neural Network,9776051,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9776051,10.1109/CSCWD54268.2022.9776051
943,Efficient Vulnerability Detection based on abstract syntax tree and Deep Learning,9163061,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9163061,10.1109/INFOCOMWKSHPS50562.2020.9163061
944,Security Vulnerability Detection Using Deep Learning Natural Language Processing,9484500,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9484500,10.1109/INFOCOMWKSHPS51825.2021.9484500
946,Hierarchical Attention Network for Interpretable and Fine-Grained Vulnerability Detection,9798297,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9798297,10.1109/INFOCOMWKSHPS54753.2022.9798297
948,Deep Learning for Software Vulnerabilities Detection Using Code Metrics,9069943,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9069943,10.1109/ACCESS.2020.2988557
949,Explainable Software vulnerability detection based on Attention-based Bidirectional Recurrent Neural Networks,9377803,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9377803,10.1109/BigData50022.2020.9377803
950,CD-VulD: Cross-Domain Vulnerability Discovery Based on Deep Domain Adaptation,9054952,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9054952,10.1109/TDSC.2020.2984505
951,Predicting Security Vulnerabilities using Source Code Metrics,9638301,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9638301,10.1109/SweDS53855.2021.9638301
953,FTCLNet: Convolutional LSTM with Fourier Transform for Vulnerability Detection,9343188,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9343188,10.1109/TrustCom50675.2020.00078
954,SoliAudit: Smart Contract Vulnerability Assessment Based on Machine Learning and Fuzz Testing,8939256,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8939256,10.1109/IOTSMS48152.2019.8939256
957,Using Software Metrics for Predicting Vulnerable Code-Components: A Study on Java and Python Open Source Projects,8919513,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8919513,10.1109/CSE/EUC.2019.00028
958,PatchRNN: A Deep Learning-Based System for Security Patch Identification,9652940,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9652940,10.1109/MILCOM52596.2021.9652940
961,Vulnerable Code Detection Using Software Metrics and Machine Learning,9272730,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9272730,10.1109/ACCESS.2020.3041181
962,UA-Miner: Deep Learning Systems for Expose Unprotected API Vulnerability in Source Code,9177528,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9177528,10.1109/ICACI49185.2020.9177528
964,Source Code Vulnerability Detection Based On SAR-GIN,9741883,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9741883,10.1109/CECIT53797.2021.00202
965,Machine Learning Model for Smart Contracts Security Analysis,8949045,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8949045,10.1109/PST47121.2019.8949045
966,A Semantic Analysis-Based Method for Smart Contract Vulnerability,9799475,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9799475,10.1109/BigDataSecurityHPSCIDS54978.2022.00015
970,Vu1SPG: Vulnerability detection based on slice property graph representation learning,9700294,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9700294,10.1109/ISSRE52982.2021.00054
976,Code Aggregate Graph: Effective Representation for Graph Neural Networks to Detect Vulnerable Code,9927184,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9927184,10.1109/ACCESS.2022.3216395
980,mVulPreter: A Multi-Granularity Vulnerability Detection System With Interpretations,9864301,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9864301,10.1109/TDSC.2022.3199769
984,Exploring Transformers for Multi-Label Classification of Java Vulnerabilities,10062434,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10062434,10.1109/QRS57517.2022.00015
988,RanDroid: Android malware detection using random machine learning classifiers,8376705,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8376705,10.1109/ICSESP.2018.8376705
991,Vulnerable Code Clone Detection for Operating System Through Correlation-Induced Learning,8765764,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8765764,10.1109/TII.2019.2929739
994,DroidDeepLearner: Identifying Android malware using deep learning,7846747,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7846747,10.1109/SARNOF.2016.7846747
1004,SQL Injection Detection Using 2D-Convolutional Neural Networks (2D-CNN),10075777,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10075777,10.1109/ICDSIC56987.2022.10075777
1005,A Machine Learning Approach to Malicious JavaScript Detection using Fixed Length Vector Representation,8489414,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8489414,10.1109/IJCNN.2018.8489414
1007,Detection of SQL Injection Attacks: A Machine Learning Approach,8959617,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8959617,10.1109/ICECTA48151.2019.8959617
1012,Filtering Malicious JavaScript Code with Doc2Vec on an Imbalanced Dataset,8827012,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8827012,10.1109/AsiaJCIS.2019.000-9
1020,A Hybrid Graph Neural Network Approach for Detecting PHP Vulnerabilities,9888816,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9888816,10.1109/DSC54232.2022.9888816
1022,Multifamily Classification of Android Malware With a Fuzzy Strategy to Resist Polymorphic Familial Variants,10.1109/ACCESS.2020.3019282,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9177047,10.1109/ACCESS.2020.3019282
1030,Repassdroid: Automatic detection of android malware based on essential permissions and semantic features of sensitive apis,8560733,https://doi-org.proxy.library.nd.edu/10.1109/TASE.2018.00015,
1031,A Machine-learning approach for classifying and categorizing android sources and sinks,susi_rasthofer_2014,https://www.ndss-symposium.org/ndss2014/programme/machine-learning-approach-classifying-and-categorizing-android-sources-and-sinks/,
1032,A multi-view context-aware approach to android malware detection and malicious code localization,Narayanan_Chandramohan_Chen_Liu_2017,https://link.springer.com/article/10.1007/s10664-017-9539-8,
