Document Title,DOI,PDF Link,excluded_stage1,excluded_stage2,excluded_stage3
Research on malicious code detection based on deep learning,10.1109/CCSB58128.2022.00029,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10071579,FALSE,TRUE,TRUE
A Practical Approach to the Automatic Classification of Security-Relevant Commits,10.1109/ICSME.2018.00058,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8530068,FALSE,TRUE,TRUE
Combining Graph-Based Learning With Automated Data Collection for Code Vulnerability Detection,10.1109/TIFS.2020.3044773,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9293321,FALSE,FALSE,FALSE
Web Application Vulnerability Prediction Using Hybrid Program Analysis and Machine Learning,10.1109/TDSC.2014.2373377,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6963442,FALSE,FALSE,FALSE
Identifying Patterns of Vulnerability Incidence in Foundational Machine Learning Repositories on GitHub: An Unsupervised Graph Embedding Approach,10.1109/ICDMW58026.2022.00084,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10031220,FALSE,TRUE,TRUE
Security Risks in Deep Learning Implementations,10.1109/SPW.2018.00027,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8424643,FALSE,TRUE,TRUE
Deep Learning in Fuzzing: A Literature Survey,10.1109/ICETCI55101.2022.9832143,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9832143,FALSE,TRUE,TRUE
Current and Future Research of Machine Learning Based Vulnerability Detection,10.1109/IMCCC.2018.00322,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9045496,FALSE,TRUE,TRUE
Automated Vulnerable Codes Mutation through Deep Learning for Variability Detection,10.1109/IJCNN55064.2022.9892444,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9892444,FALSE,FALSE,FALSE
Systematic Analysis of Deep Learning Model for Vulnerable Code Detection,10.1109/COMPSAC54236.2022.00281,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9842566,FALSE,TRUE,TRUE
Can Deep Learning Models Learn the Vulnerable Patterns for Vulnerability Detection?,10.1109/COMPSAC54236.2022.00142,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9842744,FALSE,FALSE,FALSE
A Comparative Study of RNN-based Methods for Web Malicious Code Detection,10.1109/ICCCS52626.2021.9449245,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9449245,FALSE,TRUE,TRUE
Representation vs. Model: What Matters Most for Source Code Vulnerability Detection,10.1109/SANER50967.2021.00082,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9426055,FALSE,FALSE,FALSE
AVDHRAM: Automated Vulnerability Detection based on Hierarchical Representation and Attention Mechanism,10.1109/ISPA-BDCloud-SocialCom-SustainCom51426.2020.00068,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9443902,FALSE,FALSE,FALSE
BHMVD: Binary Code-based Hybrid Neural Network for Multiclass Vulnerability Detection,10.1109/ISPA-BDCloud-SocialCom-SustainCom57177.2022.00037,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10070729,FALSE,TRUE,TRUE
A Survey on Deep Learning-Based Source Code Defect Analysis,10.1109/ICCCS49078.2020.9118556,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9118556,FALSE,TRUE,TRUE
Vulnerability Prediction From Source Code Using Machine Learning,10.1109/ACCESS.2020.3016774,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9167194,FALSE,FALSE,FALSE
A scalable and accurate hybrid vulnerability analysis framework,10.1109/ISSREW.2015.7392042,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7392042,FALSE,TRUE,TRUE
Cyber Security Vulnerability Detection Using Natural Language Processing,10.1109/AIIoT54504.2022.9817336,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9817336,FALSE,TRUE,TRUE
Vulmg: A Static Detection Solution For Source Code Vulnerabilities Based On Code Property Graph and Graph Attention Network,10.1109/ICCWAMTIP53232.2021.9674145,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9674145,FALSE,TRUE,TRUE
Botnet Detection Based on Machine Learning,10.1109/ICBCTIS55569.2022.00056,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9845057,FALSE,TRUE,TRUE
$\mu$μVulDeePecker: A Deep Learning-Based System for Multiclass Vulnerability Detection,10.1109/TDSC.2019.2942930,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8846081,FALSE,FALSE,FALSE
Self-Attention based Automated Vulnerability Detection with Effective Data Representation,10.1109/ISPA-BDCloud-SocialCom-SustainCom52081.2021.00126,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9644777,FALSE,FALSE,FALSE
Machine Learning Methods for Improving Vulnerability Detection in Low-level Code,10.1109/BigData50022.2020.9377753,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9377753,FALSE,TRUE,TRUE
An Empirical Study of High-Impact Factors for Machine Learning-Based Vulnerability Detection,10.1109/IBF50092.2020.9034888,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9034888,FALSE,TRUE,TRUE
Automated Vulnerability Detection in Source Code Using Deep Representation Learning,10.1109/ICMLA.2018.00120,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8614145,FALSE,TRUE,TRUE
Predicting Android Application Security and Privacy Risk with Static Code Metrics,10.1109/MOBILESoft.2017.14,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7972729,TRUE,TRUE,TRUE
CPGBERT: An Effective Model for Defect Detection by Learning Program Semantics via Code Property Graph,10.1109/TrustCom56396.2022.00046,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10063389,FALSE,TRUE,TRUE
On the Use of Fine-grained Vulnerable Code Statements for Software Vulnerability Assessment Models,10.1145/3524842.3528433,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796209,TRUE,TRUE,TRUE
Towards a Prototype Based Explainable JavaScript Vulnerability Prediction Model,10.1109/ICCQ51190.2021.9392984,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9392984,FALSE,FALSE,FALSE
DeepVuler: A Vulnerability Intelligence Mining System for Open-Source Communities,10.1109/TrustCom53373.2021.00090,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9724381,FALSE,TRUE,TRUE
Combinatorial Code Classification & Vulnerability Rating,10.1109/TransAI49837.2020.00017,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9253144,FALSE,TRUE,TRUE
Software Side Channel Vulnerability Detection Based on Similarity Calculation and Deep Learning,10.1109/TrustCom56396.2022.00112,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10063617,FALSE,TRUE,TRUE
Image Security Barrier (ISB): Hide valuable information in image using machine learning,10.1109/ICETET-SIP-2254415.2022.9791749,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9791749,FALSE,TRUE,TRUE
DeepBalance: Deep-Learning and Fuzzy Oversampling for Vulnerability Detection,10.1109/TFUZZ.2019.2958558,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8930093,FALSE,FALSE,FALSE
"Auto-Generated Code Detector - A Preprocessor to Enhance Security, Quality, Maintenance and Accurate Productivity Calculation of Code",10.1109/ICCC54389.2021.9674263,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9674263,FALSE,TRUE,TRUE
VulDeeLocator: A Deep Learning-Based Fine-Grained Vulnerability Detector,10.1109/TDSC.2021.3076142,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9416836,FALSE,TRUE,TRUE
VDGraph2Vec: Vulnerability Detection in Assembly Code using Message Passing Neural Networks,10.1109/ICMLA55696.2022.00173,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10069134,FALSE,TRUE,TRUE
Methods for improving Fuzzing-Testing Using Machine Learning and visualisation of results,10.1109/ITNT52450.2021.9649247,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9649247,FALSE,TRUE,TRUE
GVD-net: Graph embedding-based Machine Learning Model for Smart Contract Vulnerability Detection,10.1109/ADMIT57209.2022.00024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9974924,FALSE,TRUE,TRUE
Towards a software vulnerability prediction model using traceable code patterns and software metrics,10.1109/ASE.2017.8115724,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115724,FALSE,TRUE,TRUE
Adding Context to Source Code Representations for Deep Learning,10.1109/ICSME55016.2022.00042,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9978267,FALSE,TRUE,TRUE
Smart Contract Vulnerability Detection based on Abstract Syntax Tree,10.1109/ISSSR56778.2022.00032,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9973789,FALSE,TRUE,TRUE
Challenges and Approaches of Code-mixed Hate Speech Detection,10.1109/MLCSS57186.2022.00060,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10076747,FALSE,TRUE,TRUE
Software Vulnerability Prediction based on Statistical Learning,10.1109/ICAICA54878.2022.9844560,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9844560,FALSE,TRUE,TRUE
Intrusion Detection in Cloud Architecture Using Machine Learning,10.1109/ICAC3N56670.2022.10074376,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10074376,FALSE,FALSE,TRUE
Source Code Vulnerabilities Detection Using Loosely Coupled Data and Control Flows,10.1109/SYNASC49474.2019.00016,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9049872,FALSE,TRUE,TRUE
An Efficient Vulnerability Extrapolation Using Similarity of Graph Kernel of PDGs,10.1109/TrustCom50675.2020.00229,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9343065,FALSE,FALSE,FALSE
Challenging Machine Learning Algorithms in Predicting Vulnerable JavaScript Functions,10.1109/RAISE.2019.00010,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8823747,TRUE,TRUE,TRUE
A Machine Learning-Based Security Vulnerability Study on XOR PUFs for Resource-Constraint Internet of Things,10.1109/ICIOT.2018.00014,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8473439,FALSE,TRUE,TRUE
VulMiningBGS: Detection of overflow vulnerabilities based on graph similarity,10.1109/CIS58238.2022.00087,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10091381,FALSE,TRUE,TRUE
SEVulDet: A Semantics-Enhanced Learnable Vulnerability Detector,10.1109/DSN53405.2022.00026,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9833680,FALSE,FALSE,FALSE
ISVSF: Intelligent Vulnerability Detection Against Java via Sentence-Level Pattern Exploring,10.1109/JSYST.2021.3072154,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9421377,FALSE,TRUE,TRUE
Vulnerability Detection in C/C++ Source Code With Graph Representation Learning,10.1109/CCWC51732.2021.9376145,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9376145,FALSE,FALSE,FALSE
LineVD: Statement-level Vulnerability Detection using Graph Neural Networks,10.1145/3524842.3527949,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796269,TRUE,TRUE,TRUE
VulBERTa: Simplified Source Code Pre-Training for Vulnerability Detection,10.1109/IJCNN55064.2022.9892280,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9892280,FALSE,FALSE,FALSE
A Machine Learning Based Approach to Identify SQL Injection Vulnerabilities,10.1109/ASE.2019.00164,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952467,TRUE,TRUE,TRUE
Vulnerability Detection in Source Code using Deep Representation Learning,10.1109/SMART55829.2022.10047614,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10047614,FALSE,TRUE,TRUE
VulDeBERT: A Vulnerability Detection System Using BERT,10.1109/ISSREW55968.2022.00042,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9985089,FALSE,FALSE,FALSE
Research on Malware Detection System Using Artificial Intelligence,10.1109/BCD54882.2022.9900792,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9900792,FALSE,TRUE,TRUE
An Exploratory Study on Machine Learning to Combine Security Vulnerability Alerts from Static Analysis Tools,10.1109/LADC48089.2019.8995685,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8995685,FALSE,TRUE,TRUE
SQL Injection Detection Using Machine Learning Techniques,10.1109/ISCMI53840.2021.9654820,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9654820,FALSE,TRUE,TRUE
Detecting Software Code Vulnerabilities Using 2D Convolutional Neural Networks with Program Slicing Feature Maps,10.1109/AIPR57179.2022.10092211,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10092211,FALSE,FALSE,FALSE
Full-Stack Hierarchical Fusion of Static Features for Smart Contracts Vulnerability Detection,10.1109/Blockchain53845.2021.00091,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9680540,FALSE,TRUE,TRUE
Staged Method of Code Similarity Analysis for Firmware Vulnerability Detection,10.1109/ACCESS.2019.2893733,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8616839,FALSE,FALSE,TRUE
Inductive Vulnerability Detection via Gated Graph Neural Network,10.1109/CSCWD54268.2022.9776051,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9776051,FALSE,FALSE,FALSE
"SWAN_ASSIST: Semi-Automated Detection of Code-Specific, Security-Relevant Methods",10.1109/ASE.2019.00110,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952264,TRUE,TRUE,TRUE
Machine learning for implanted malicious code detection with incompletely specified system implementations,10.1109/ICNP.2011.6089070,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6089070,TRUE,TRUE,TRUE
Novel EEG Risk Framework to Identify Insider Threats in National Critical Infrastructure Using Deep Learning Techniques,10.1109/SCC49832.2020.00071,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9284522,FALSE,TRUE,TRUE
Detecting Java Compiled Malware using Machine Learning Techniques,10.1109/SYNASC.2018.00073,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8750755,FALSE,TRUE,TRUE
Use of Machine Learning in Detecting Network Security of Edge Computing System,10.1109/ICBDA.2019.8713237,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8713237,FALSE,TRUE,TRUE
SySeVR: A Framework for Using Deep Learning to Detect Software Vulnerabilities,10.1109/TDSC.2021.3051525,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9321538,FALSE,TRUE,TRUE
DeepCVA: Automated Commit-level Vulnerability Assessment with Deep Multi-task Learning,10.1109/ASE51524.2021.9678622,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9678622,TRUE,TRUE,TRUE
An Empirical Study of Code Smells in Transformer-based Code Generation Techniques,10.1109/SCAM55253.2022.00014,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10006873,FALSE,TRUE,TRUE
Efficient Vulnerability Detection based on abstract syntax tree and Deep Learning,10.1109/INFOCOMWKSHPS50562.2020.9163061,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9163061,FALSE,FALSE,FALSE
VulCNN: An Image-inspired Scalable Vulnerability Detection System,10.1145/3510003.3510229,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9793871,FALSE,FALSE,FALSE
Software Vulnerability Analysis and Discovery Using Deep Learning Techniques: A Survey,10.1109/ACCESS.2020.3034766,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9244140,FALSE,TRUE,TRUE
Software Vulnerability Detection Using Deep Neural Networks: A Survey,10.1109/JPROC.2020.2993293,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9108283,FALSE,TRUE,TRUE
Identifying Ubiquitious Third-Party Libraries in Compiled Executables Using Annotated and Translated Disassembled Code with Supervised Machine Learning,10.1109/SPW50608.2020.00042,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9283827,FALSE,TRUE,TRUE
Automated Static Code Analysis for Classifying Android Applications Using Machine Learning,10.1109/CIS.2010.77,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5696292,TRUE,TRUE,TRUE
Efficient Binary Static Code Data Flow Analysis Using Unsupervised Learning,10.1109/AI4I51902.2021.00030,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9565459,FALSE,TRUE,TRUE
Securing Big Data in the Age of AI,10.1109/TPS-ISA48467.2019.00035,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9014354,FALSE,TRUE,TRUE
NIDS-Network Intrusion Detection System Based on Deep and Machine Learning Frameworks with CICIDS2018 using Cloud Computing,10.1109/ICSIDEMPC49020.2020.9299584,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9299584,FALSE,TRUE,TRUE
Cyber Vulnerability Intelligence for Internet of Things Binary,10.1109/TII.2019.2942800,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8892533,FALSE,TRUE,TRUE
Security Vulnerability Detection Using Deep Learning Natural Language Processing,10.1109/INFOCOMWKSHPS51825.2021.9484500,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9484500,FALSE,FALSE,FALSE
CodeNet: Code-Targeted Convolutional Neural Network Architecture for Smart Contract Vulnerability Detection,10.1109/ACCESS.2022.3162065,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9740682,FALSE,TRUE,TRUE
Source Code and Binary Level Vulnerability Detection and Hot Patching,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9286045,TRUE,TRUE,TRUE
Analysing vulnerability reproducibility for Firefox browser,10.1109/PST.2016.7906955,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7906955,FALSE,TRUE,TRUE
Hierarchical Attention Network for Interpretable and Fine-Grained Vulnerability Detection,10.1109/INFOCOMWKSHPS54753.2022.9798297,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9798297,FALSE,FALSE,FALSE
Multiple Authors Identification from Source Code Using Deep Learning Model,10.1109/ICECIT54077.2021.9641497,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9641497,FALSE,TRUE,TRUE
IntJect: Vulnerability Intent Bug Seeding,10.1109/QRS57517.2022.00013,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10062467,FALSE,TRUE,TRUE
Dynamic malicious code detection technology based on deep learning,10.1109/ICOCN55511.2022.9901158,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9901158,FALSE,TRUE,TRUE
"Detecting ""0-Day"" Vulnerability: An Empirical Study of Secret Security Patch in OSS",10.1109/DSN.2019.00056,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8809499,FALSE,FALSE,TRUE
Binary Analysis with Architecture and Code Section Detection using Supervised Machine Learning,10.1109/SPW50608.2020.00041,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9283886,FALSE,TRUE,TRUE
Software Vulnerability Discovery via Learning Multi-Domain Knowledge Bases,10.1109/TDSC.2019.2954088,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8906156,FALSE,FALSE,FALSE
Enabling Automatic Repair of Source Code Vulnerabilities Using Data-Driven Methods,10.1145/3510454.3517063,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9793735,TRUE,TRUE,TRUE
Predicting Cross-Site Scripting (XSS) security vulnerabilities in web applications,10.1109/JCSSE.2015.7219789,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7219789,FALSE,FALSE,TRUE
Source Code Authorship Attribution Using Hybrid Approach of Program Dependence Graph and Deep Learning Model,10.1109/ACCESS.2019.2943639,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8848478,FALSE,TRUE,TRUE
Machine learning for attack vector identification in malicious source code,10.1109/ISI.2013.6578779,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6578779,FALSE,TRUE,TRUE
Platform of the Web vulnerability detection Based on Natural Language Processing,10.1109/CVIDLICCEA56201.2022.9825416,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9825416,FALSE,TRUE,TRUE
A smart contract vulnerability detection model based on graph neural networks,10.1109/ICFTIC57696.2022.10075325,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10075325,FALSE,TRUE,TRUE
Deep Learning for Software Vulnerabilities Detection Using Code Metrics,10.1109/ACCESS.2020.2988557,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9069943,FALSE,FALSE,FALSE
BinDeep: Binary to Source Code Matching Using Deep Learning,10.1109/TrustCom53373.2021.00150,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9724320,FALSE,TRUE,TRUE
A Machine Learning-Based Automatic Feedback System to Teach Cybersecurity Principles to K-12 and College Students,10.1109/GHTC55712.2022.9910998,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9910998,FALSE,TRUE,TRUE
Deep Learning in Security of Internet of Things,10.1109/JIOT.2021.3106898,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9520818,FALSE,TRUE,TRUE
5G Laboratory for Checking Machine Learning Algorithms,10.1109/UkrMiCo52950.2021.9716712,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9716712,FALSE,TRUE,TRUE
Explainable Software vulnerability detection based on Attention-based Bidirectional Recurrent Neural Networks,10.1109/BigData50022.2020.9377803,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9377803,FALSE,FALSE,FALSE
A GAN-Based Anti-obfuscation Detection Method for Malicious Code,10.1109/PRML56267.2022.9882255,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9882255,FALSE,TRUE,TRUE
Project Achilles: A Prototype Tool for Static Method-Level Vulnerability Detection of Java Source Code Using a Recurrent Neural Network,10.1109/ASEW.2019.00040,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8967427,FALSE,FALSE,FALSE
Vector representation of machine instructions for vulnerability assessment of digital infrastructure components,10.1109/ICPHYS.2018.8390815,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8390815,FALSE,TRUE,TRUE
LEOPARD: Identifying Vulnerable Code for Vulnerability Assessment Through Program Metrics,10.1109/ICSE.2019.00024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8812029,FALSE,TRUE,TRUE
AI & ML Based Anamoly Detection and Response Using Ember Dataset,10.1109/ICRITO51393.2021.9596451,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9596451,FALSE,TRUE,TRUE
A Survey of Software Clone Detection From Security Perspective,10.1109/ACCESS.2021.3065872,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9378511,FALSE,TRUE,TRUE
Asteria: Deep Learning-based AST-Encoding for Cross-platform Binary Code Similarity Detection,10.1109/DSN48987.2021.00036,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9505086,FALSE,TRUE,TRUE
"Computer Security with Artificial Intelligence, Machine Learning, and Data Science Combination",10.1002/9781119771579.ch1,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9562713.pdf&bkn=9562694&pdfType=chapter,FALSE,TRUE,TRUE
Research on Image Verification Code based on Watermarking Technology,10.1109/AINIT54228.2021.00025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9725063,FALSE,TRUE,TRUE
CD-VulD: Cross-Domain Vulnerability Discovery Based on Deep Domain Adaptation,10.1109/TDSC.2020.2984505,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9054952,FALSE,FALSE,FALSE
Innovation Practices Track: Security in Test and Test for Security,10.1109/VTS52500.2021.9794269,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9794269,FALSE,TRUE,TRUE
