Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,excluded_stage1,excluded_stage2,excluded_stage3,already_analyzed
Evasion Attack STeganography: Turning Vulnerability Of Machine Learning To Adversarial Attacks Into A Real-world Application,S. Ghamizi; M. Cordy; M. Papadakis; Y. L. Traon,University of Luxembourg; University of Luxembourg; University of Luxembourg; University of Luxembourg,2021 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW),24 Nov 2021,2021.0,,,31,40,"Evasion Attacks have been commonly seen as a weakness of Deep Neural Networks. In this paper, we flip the paradigm and envision this vulnerability as a useful application. We propose EAST, a new steganography and watermarking technique based on multi-label targeted evasion attacks. The key idea of EAST is to encode data as the labels of the image that the evasion attacks produce.Our results confirm that our embedding is elusive; it not only passes unnoticed by humans, steganalysis methods, and machine-learning detectors. In addition, our embedding is resilient to soft and aggressive image tampering (87% recovery rate under jpeg compression). EAST outperforms existing deep-learning-based steganography approaches with images that are 70% denser and 73% more robust and supports multiple datasets and architectures.We provide our algorithm and open-source code at https://github.com/yamizi/Adversarial-Embedding",2473-9944,978-1-6654-0191-3,10.1109/ICCVW54120.2021.00010,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9607753,,Steganography;Machine learning algorithms;Image coding;Watermarking;Detectors;Media;Turning,image coding;image watermarking;learning (artificial intelligence);neural nets;steganography,evasion attack STeganography;turning vulnerability;machine learning;adversarial attacks;useful application;EAST;watermarking technique;multilabel targeted evasion attacks;evasion attacks produce;machine-learning detectors;soft image tampering;aggressive image tampering;Adversarial Attacks,,,,50.0,IEEE,24 Nov 2021,,,IEEE,IEEE Conferences,False,True,True,
Function Identification in Android Binaries with Deep Learning,A. Sharif; M. Nauman,"Dept. of Computer Science, FAST NUCES, Peshawar, Pakistan; Dept. of Computer Science, FAST NUCES, Peshawar, Pakistan",2019 Seventh International Symposium on Computing and Networking (CANDAR),16 Jan 2020,2019.0,,,92,101,"Application security support has become a preference for the enterprise as cybersecurity threats have transferred from the network perimeter to the application layer in modern years. To ensure that the software is secure, organizations must test it before purchase or deployment and identify any flaws that may expose the organizations to vulnerabilities. Binary code analysis is a new method for application security testing and is transforming software security. Binary analysis aids in many important applications including automatically fixing vulnerable software and malware detection. Plenty of research has been done to improve binary analysis using datasets related to different computer platforms, new compilers, and new optimization techniques. However, there is a vast majority of Android users and since it is an open-source platform it is equally vulnerable to similar attacks as well. In this research, we propose to implement deep neural networks to solve an essential yet difficult problem in binary analysis. We solve the problem of function boundary identification, a pivotal first step in a lot of binary analysis techniques. Neural networks have experienced a renewal in the past few years, achieving breakthrough outcomes in various fields such as object detection, language translation, and speech recognition. Yet no specific research has explored their utility in Android binary analysis. We exhibit that convolutional neural networks can identify functions in binaries with greater accuracy than the current state-of-the-art methods. Our model will be trained on a dataset of bytecode extracted from Android binaries. The proposed methodology is tested and evaluated on the Drebin Malware Dataset which contains Android Malware applications coming from various malware families. With the presented model, we achieved an overall precision of 0.75, recall of 0.79 and the f1 score of 0.76 in the testing phase.",2379-1896,978-1-7281-4725-3,10.1109/CANDAR.2019.00019,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8958412,"Function Identification, Function Boundary, Malware Detection, Binary Analysis, Deep Learning, Convolutional Neural Networks",,Android (operating system);binary codes;computer network security;convolutional neural nets;invasive software;learning (artificial intelligence);security of data,cybersecurity threats;application layer;binary code analysis;application security testing;software security;vulnerable software;malware detection;computer platforms;optimization techniques;Android users;open-source platform;deep neural networks;function boundary identification;Android binary analysis;convolutional neural networks;Drebin Malware Dataset;Android Malware applications;deep learning;application security support,,3.0,,39.0,IEEE,16 Jan 2020,,,IEEE,IEEE Conferences,False,True,True,
Portfolio selection with credibility criterion,Chang-Li Wu; Yan-Qing Wang; Cai-Ying Huang,"School of Economic and Management, Hebei University of Science and Technology, Shijiazhuang, China; College of Safety Science & Engineering, Civil Aviation University of China, Tianjin, China; School of Humanities and Laws, Hebei University of Science and Technology, Shijiazhuang, China",2009 International Conference on Machine Learning and Cybernetics,25 Aug 2009,2009.0,5,,2620,2624,The problems of portfolio selection with credibility criterion are investigated. They are maximized the possibility (necessary or credibility) that the return rate of portfolio is no less than a given expected rate. The crisp equivalents are given under the condition that the return rate of security is triangular fuzzy variable. Finally illustrative examples are given.,2160-1348,978-1-4244-3702-3,10.1109/ICMLC.2009.5212651,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5212651,Credibility criterion;Portfolio selection;Possibility measure;Necessity measure;Credibility measure,Portfolios;Security;Forward contracts;Machine learning;Cybernetics;Linear programming;National electric code;Conference management;Technology management;Engineering management,fuzzy set theory;investment;stock markets,portfolio selection;credibility criterion;portfolio return rate;security return rate;triangular fuzzy variable,,,,7.0,IEEE,25 Aug 2009,,,IEEE,IEEE Conferences,True,True,True,
Software Defect Prediction via Transformer,Q. Zhang; B. Wu,"College of Cyberspace Security, Beijing University of Posts and Telecommunications; College of Cyberspace Security, Beijing University of Posts and Telecommunications","2020 IEEE 4th Information Technology, Networking, Electronic and Automation Control Conference (ITNEC)",4 May 2020,2020.0,1,,874,879,"In order to enhance software reliability, software defect prediction is used to predict potential defects and to improve efficiency of software examination. Traditional defect prediction methods mainly focus on design static code metrics, and building machine learning classifiers to predict pieces of code that potentially defective. However, these manual extracted features do not contain syntactic and semantic information of programs. These information is much more important than those metrics and can improve the accuracy of defect prediction. In this paper, we propose a framework called software defect prediction via transformer (DP-Transformer) which capture syntactic and semantic features from programs and use them to improve defect prediction. Specifically, we first parse source code into ASTs and then select representative nodes from ASTs to form token vectors. Then we employ mapping and word embedding to convert token vectors into numerical vectors and send the numerical vectors to transformer. Transformer will automatically extract syntactic and semantic features and eventually feed these features into a Logistic Regression classifier. We evaluate our method on seven open-source Java projects with certain labels and take F-measure as evaluation criteria. The experimental results show that averagely, the proposed DP-Transformer improves the state-of-art method by 8%.",,978-1-7281-4390-3,10.1109/ITNEC48623.2020.9084745,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9084745,software reliability;software defect prediction;machine learning;deep learning;transformer,Software;Feature extraction;Semantics;Syntactics;Measurement;Java;Deep learning,feature extraction;Java;learning (artificial intelligence);pattern classification;program diagnostics;public domain software;regression analysis;software maintenance;software metrics;software reliability;source code (software);vectors,software reliability;software examination;DP-Transformer;semantic feature extraction;token vectors;numerical vectors;syntatic feature extraction;static code metrics design;software defect prediction via transformer;AST;word embedding;mapping;logistic regression classifier;open-source Java projects;machine learning classifiers,,2.0,,21.0,IEEE,4 May 2020,,,IEEE,IEEE Conferences,False,True,True,
Using heuristic approach to build Anti-malware,M. Alrammal; M. Naveed; S. Rihawi,"Higher Colleges of Technology, UAE; Higher Colleges of Technology, UAE; Alkhawarizmi Internaional University College, Abu Dhabi, UAE",2018 Fifth HCT Information Technology Trends (ITT),24 Feb 2019,2018.0,,,191,196,"The security threats to mobile devices are growing exponentially as the degree of sophistication for these smart devices increase. Mobile devices are not only used for phone calls, they process several enterprise and personal information on daily basis. The comprise to such crucial and private information can cause devastating effects at personal and enterprise levels. In this work, we present a new approach to develop anti-malware programs that can adapt to themselves to the new definitions of the malwares and can detect them in realtime. We propose a machine learning algorithm that can be trained to identify a malicious activity on a smart-phone. We develop a malware and also used existing malwares to generate a training data set to train a malware for detecting the patterns of malicious activities on devices. The paper also presents the key indicators for pattern matching in such cases. The results show that the new definitions of malicious codes are not detectable by existing sophisticated anti-malware programs by using sandboxing techniques. The results also show that all definitions of malwares work under within the same patterns of indicators.",,978-1-5386-7147-4,10.1109/CTIT.2018.8649499,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8649499,Machine learning;security;anti-malware,Malware;Servers;Smart phones;Security;Training data;Information technology,invasive software;learning (artificial intelligence);pattern matching;smart phones,heuristic approach;security threats;mobile devices;personal information;private information;machine learning algorithm;smart devices;smart phone;anti-malware programs;sandboxing techniques;malicious code definition,,1.0,,15.0,IEEE,24 Feb 2019,,,IEEE,IEEE Conferences,False,True,True,
Malicious Code Detection Technology Based on A3C Algorithm,Y. Xue; H. Shu; W. Bu; W. Qu,"State Key Laboratory of Mathematical Engineering and Advanced Computing, Zhengzhou, China; State Key Laboratory of Mathematical Engineering and Advanced Computing, Zhengzhou, China; State Key Laboratory of Mathematical Engineering and Advanced Computing, Zhengzhou, China; Beijing Venustech Cybervision Co. Ltd., China, Beijing, China",2020 IEEE 11th International Conference on Software Engineering and Service Science (ICSESS),4 Nov 2020,2020.0,,,116,120,"In the face of the explosive growth of malicious code, this paper proposes a malicious code detection technology based on the A3C algorithm. The technology constructs a malicious code anti-detection adversarial model through the A3C algorithm of the reinforcement learning. It can automatically generates anti-detection malicious samples that bypass the intelligent model on the existing malicious sample set, constructs the anti-detection sample training data set, uses the anti-detection sample training data set to iteratively train new intelligent detection models, continuously builds a reinforcement learning intelligent detection model with continuously enhanced capabilities.",2327-0594,978-1-7281-6579-0,10.1109/ICSESS49938.2020.9237740,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9237740,component;malicious code;reinforcement learning;A3C algorithm;anti-detection confrontation,Face recognition;Software algorithms;Training data;Reinforcement learning;Malware;Data models;Software engineering,invasive software;iterative methods;learning (artificial intelligence);security of data,malicious code detection technology;A3C Algorithm;malicious code anti-detection adversarial model;anti-detection malicious samples;anti-detection sample training data;reinforcement learning intelligent detection model,,,,21.0,IEEE,4 Nov 2020,,,IEEE,IEEE Conferences,False,True,True,True
Data-Driven Security Analysis of Machine Learning Systems,C. Shen,"Xi'an Jiaotong University, China",2020 International Conference on Networking and Network Applications (NaNA),19 Feb 2021,2020.0,,,xxi,xxi,"Human society is witnessing a wave of machine learning(ML) driven by dep learning techniques, bringing a technological revolution for human production and life. In some specific fields, ML achieved or even surpassed human-level performance. However, most previous machine learning theories have not considered the open and even adversarial environments, and the security and privacy issues are gradually rising. Besides of insecure code implementations, blased models, adversarial examples, sensor spoofing can also lead to security risks, which are hard to be discovered by traditional security analysis tools. This talk reviews previous works on ML system security and privacy, revealing potential security and privacy risks. Firstly, we introduce a threat model of ML systems, including attack surfaces, attach capabilitiesand attack goals. Second, we analyze security risks and countermeasures in terms of four critical components in ML systems: data input (sensor), data preprocessing, machine learning model and output. Finally, we discuss future research trends on the security of ML systems. The aim si to arise the attention of the computer security society and the ML society on security and privacy of ML systems, and so that they can work together to unlock ML's potential to build a bright future.",,978-1-7281-8954-3,10.1109/NaNA51271.2020.00008,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9353795,,Conferences,,,,,,,IEEE,19 Feb 2021,,,IEEE,IEEE Conferences,False,True,True,
Efficient Malicious Code Detection Using N-Gram Analysis and SVM,J. Choi; H. Kim; C. Choi; P. Kim,"Department of Computer Engineering, Chosun University, Gwangju, South Korea; Department of Computer Engineering, Chosun University, Gwangju, South Korea; Department of Computer Engineering, Chosun University, Gwangju, South Korea; Department of Computer Engineering, Chosun University, Gwangju, South Korea",2011 14th International Conference on Network-Based Information Systems,13 Oct 2011,2011.0,,,618,621,"As the use of the internet increases, the distribution of web based malicious code has also vastly increased. By inputting malicious code that can attack vulnerabilities, it enables one to perform various illegal acts, such as SQL Injection and Cross Site Scripting (XSS). Furthermore, an extensive amount of computer, network and human resources are consumed to prevent it. As a result much research is being done to prevent and detecting malicious code. Currently, research is being done on readable sentences which do not use proper grammar. This type of malicious code cannot be classified by previous vocabulary analysis or document classification methods. This paper proposes an approach that results in an effective n-gram feature extraction from malicious code for classifying executable as malicious or benign with the use of Support Vector Machines (SVM) as the machine learning classifier.",2157-0426,978-1-4577-0789-6,10.1109/NBiS.2011.104,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6041963,Malicious Code Detection;N-Gram;SVM,Feature extraction;Security;Electronic mail;Internet;Training data;Support vector machine classification,computer crime;document handling;feature extraction;Internet;pattern classification;support vector machines;vocabulary,SVM;Internet;Web based malicious code detection;cross site scripting;SQL injection;support vector machines;machine learning classifier;n-gram feature extraction;human resources;vocabulary analysis;document classification methods,,44.0,2.0,10.0,IEEE,13 Oct 2011,,,IEEE,IEEE Conferences,False,True,True,
An Adversarial Machine Learning Method Based on OpCode N-grams Feature in Malware Detection,X. Li; K. Qiu; C. Qian; G. Zhao,"National Key Laboratory of Science and Technology on Information System Security, Bejing, China; Nankai University, Tianjin, China; National Key Laboratory of Science and Technology on Information System Security, Bejing, China; National Key Laboratory of Science and Technology on Information System Security, Bejing, China",2020 IEEE Fifth International Conference on Data Science in Cyberspace (DSC),21 Aug 2020,2020.0,,,380,387,"Machine learning has become an important method in malware detection. However, due to the weakness of machine learning models, a large number of researches related to adversarial machine learning has emerged. At present, the researches about adversarial machine learning mainly focus on the image and speech recognition. In the field of malware detection, because the feature modification can easily damage the integrity and functionality of the code, it is usually through adding noise such as garbage instructions to achieve fooling the malware detection model. In this paper, we propose an adversarial machine learning method on malware detection model based on OpCode n-grams feature. We first collect a large number of malicious code and normal code data sets, and use TF-IDF to extract OpCode n-grams with different n values from the data set. Then we train three malware detection models based on OpCode n-grams. Under the premise of comprehensive consideration of efficiency, accuracy and interpretability, we select XGBoost as the adversarial feature extraction model and extract adversarial features. Finally, in order to verify the accuracy of the extracted features, we conduct an adversarial machine learning experiment. The experimental results show that the adversarial method proposed in this paper can completely fool the machine learning detection model.",,978-1-7281-9558-2,10.1109/DSC50466.2020.00066,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9172865,,,feature extraction;invasive software;learning (artificial intelligence),OpCode n-grams feature;feature modification;malware detection;adversarial machine learning;normal code data sets;adversarial feature extraction;code integrity;code functionality;garbage instructions;malicious code;TF-IDF;XGBoost,,7.0,,23.0,IEEE,21 Aug 2020,,,IEEE,IEEE Conferences,False,True,True,
A new multiple audio watermarking algorithm applying DS-CDMA,Yong-Hong Chen; Jian-Cong Chen,"Department of Computer & mathematics, Chongqing Normal University, Chongqing, China; Department of Computer & mathematics, Chongqing Normal University, Chongqing, China",2009 International Conference on Machine Learning and Cybernetics,25 Aug 2009,2009.0,4,,2205,2210,"In this paper, a new multiple audio watermarking algorithm applying DS-CDMA is proposed. First, an orthogonal gold sequence set is generated via preferred-pair of m sequences, and then are used to spread spectrum of the two copyright watermarks. Before embedded into the DWT domain of the original audio in a fashion similar to DS-CDMA, the CDMA encoded watermark messages are mixed with a chaotic sequence for more security. This chaotic sequence is introduced as a secret embedding key so that the proposed scheme is robust to watermark counterfeiting. Blind recovery of each embedded watermark is achieved by using the fast fixed-point independent component analysis (FastICA) algorithm and the secret keys. Experiment results demonstrate that the watermarks with the proposed algorithm can be detected with low bit error rate (BER) and high security against common audio processing manipulations.",2160-1348,978-1-4244-3702-3,10.1109/ICMLC.2009.5212199,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5212199,Gold sequences;Multiple watermarks;Code Division Multiple Access (CDMA);Independent Component Analysis (ICA),Watermarking;Multiaccess communication;Chaotic communication;Security;Bit error rate;Gold;Spread spectrum communication;Discrete wavelet transforms;Robustness;Counterfeiting,audio coding;code division multiple access;error statistics;independent component analysis;m-sequences;spread spectrum communication;watermarking,multiple audio watermarking algorithm;DS-CDMA;orthogonal gold sequence set;m-sequences;copyright watermark;chaotic sequence;fast fixed-point independent component analysis algorithm;low bit error rate;BER;audio processing;direct spread spectrum code division multiple access,,3.0,,13.0,IEEE,25 Aug 2009,,,IEEE,IEEE Conferences,True,True,True,
Computational Intelligence Support for Smart Queries and Adaptive Data,T. Martin; B. Azvine; Y. Shen,"Artificial Intelligence Group, University of Baristol, UK; Intelligent Systems Laboratory, Ipswich, UK; Artificial Intelligence Group, University of Baristol, UK",2007 IEEE Symposium on Computational Intelligence in Security and Defense Applications,4 Jun 2007,2007.0,,,77,84,"The UK initiative in ""network enabled capability"" (NEC) can be loosely summarised as ""right information, right place, right time - and not too much"". It is closely related to the US concept of ""network-centric operations"". A core requirement for NEC is ""active intelligence"" where information streams from multiple sources can be dynamically blended and fused into the relevant form for a decision maker. We have identified ""smart queries"" and ""adaptive data"" (SQuAD) as the key components of active intelligence, and these form the basis of a current research programme. In this paper we outline three existing research streams that can contribute to the SQuAD project by using soft computing and computational intelligence to merge semi-structured data and taxonomic categories",2329-6275,1-4244-0700-1,10.1109/CISDA.2007.368138,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4219085,,Computational intelligence;Competitive intelligence;National electric code;Databases;Information retrieval;Artificial intelligence;Data mining;Data security;Information security;Learning systems,artificial intelligence;data analysis;data structures;decision making;query processing,computational intelligence support;smart query;adaptive data;network enabled capability;network-centric operations;active intelligence;soft computing;semistructured data;taxonomic category,,,,23.0,IEEE,4 Jun 2007,,,IEEE,IEEE Conferences,True,True,True,
New malware detection framework based on N-grams and Support Vector Domain Description,M. El Boujnouni; M. Jedra; N. Zahid,"Faculty of Sciences, (Microelectronic and Informatics) Avenue Ibn Battouta B.P 1014 Rabat, Morocco; Faculty of Sciences, (Microelectronic and Informatics) Avenue Ibn Battouta B.P 1014 Rabat, Morocco; Faculty of Sciences, (Microelectronic and Informatics) Avenue Ibn Battouta B.P 1014 Rabat, Morocco",2015 11th International Conference on Information Assurance and Security (IAS),16 Jun 2016,2015.0,,,123,128,"Malware is a sequence of instructions that has the potential to harm any computer system or computer network. Thus detecting malware especially new ones is a critical topic in today's software security profession. Traditional signature based detection performs well against known malicious programs but can't deal with new ones where signatures are not available. Furthermore, this approach is generally regarded as ineffective against attacks like code polymorphism and metamorphism used by malware writers to obfuscate their code. To overcome this problem new techniques have been developed using data mining and machine learning. In this paper we present a new framework to detect new malicious programs, it's based on N-grams and an improved version of Support Vector Domain Description. We preprocessed and classified several hundred of computer viruses and clean programs to confirm the feasibility and the effectiveness of the proposed method.",,978-1-4673-8715-6,10.1109/ISIAS.2015.7492756,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7492756,Information Security;Malware detection;N-grams;Support Vector Domain Description,Malware;Feature extraction;Computers;Data mining;Support vector machine classification,computer viruses;data mining;learning (artificial intelligence);support vector machines,malware detection framework;N-grams;support vector domain description;computer system;computer network;data mining;machine learning;computer viruses;software security profession;code polymorphism;code metamorphism,,14.0,,25.0,IEEE,16 Jun 2016,,,IEEE,IEEE Conferences,False,True,True,
Reverse Engineering Controller Area Network Messages Using Unsupervised Machine Learning,U. Ezeobi; H. Olufowobi; C. Young; J. Zambreno; G. Bloom,"University of Colorado at Colorado Springs, USA; The University of Texas at Arlington, USA; Iowa State University, USA; Iowa State University, USA; University of Colorado at Colorado Springs, USA",IEEE Consumer Electronics Magazine,10 Dec 2021,2022.0,11,1.0,50,56,"The smart city landscape is rife with opportunities for mobility and economic optimization, but also presents many security concerns spanning the range of components and systems in the smart ecosystem. One key enabler for this ecosystem is smart transportation and transit, which is foundationally built upon connected vehicles. Ensuring vehicular security, while necessary to guarantee passenger and pedestrian safety, is itself challenging due to the broad attack surfaces of modern automotive systems. A single car contains dozens to hundreds of small embedded computing devices known as electronic control units (ECUs) executing hundreds of millions of lines of code; the inherent complexity of this tightly integrated cyber-physical system (CPS) is one of the key problems that frustrate effective security. We describe an approach to help reduce the complexity of security analyses by leveraging unsupervised machine learning to learn clusters of messages passed between ECUs that correlate with changes in the CPS state of a vehicle as it moves throughout the world. Our approach can help to improve the security of vehicles in a smart city, and can leverage smart city infrastructure to further enrich and refine the quality of the machine learning output.",2162-2256,,10.1109/MCE.2020.3023538,"National Science Foundation(grant numbers:CNS 1646317,CNS 1645987,CNS 2011620);",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9195153,,Smart cities;Reverse engineering;Security;Machine learning;Ecosystems;Clustering algorithms;Complexity theory,automobiles;automotive electronics;controller area networks;ecology;embedded systems;learning (artificial intelligence);message passing;optimisation;power engineering computing;power generation economics;reverse engineering;security of data;smart cities;transportation,reverse engineering controller area network messages;smart city landscape;economic optimization;smart ecosystem;transportation;connected vehicles;vehicular security;pedestrian safety;broad attack surfaces;modern automotive systems;single car;embedded computing devices;electronic control units;ECU;inherent complexity;cyber-physical system;effective security;machine learning output;guarantee passenger;CPS,,3.0,,12.0,IEEE,11 Sep 2020,,,IEEE,IEEE Magazines,False,True,True,
AIMED: Evolving Malware with Genetic Programming to Evade Detection,R. L. Castro; C. Schmitt; G. Dreo,"Research Institute CODE, Bundeswehr University, Munich, Germany; Research Institute CODE, Bundeswehr University, Munich, Germany; Research Institute CODE, Bundeswehr University, Munich, Germany","2019 18th IEEE International Conference On Trust, Security And Privacy In Computing And Communications/13th IEEE International Conference On Big Data Science And Engineering (TrustCom/BigDataSE)",31 Oct 2019,2019.0,,,240,247,"Genetic Programming (GP) has previously proved to achieve valuable results on the fields of image processing and arcade learning. Similarly, it can be used as an adversarial learning approach to evolve malware samples until static learning classifiers are no longer able to detect it. While the implementation is relatively simple compared with other Machine Learning approaches, results proved that GP can be a competitive solution to find adversarial malware examples comparing with similar methods. Thus, AIMED - Automatic Intelligent Malware Modifications to Evade Detection - was designed and imple-mented using genetic algorithms to evade malware classifiers. Our experiments suggest that the time to achieve adversarial malware samples can be reduced up to 50% compared to classic random approaches. Moreover, we implemented AIMED to generate adversarial examples using individual malware scanners as target and tested the evasive files against further classifiers from both research and industry. The generated examples achieved up to 82% of cross-evasion rates among the classifiers.",2324-9013,978-1-7281-2777-4,10.1109/TrustCom/BigDataSE.2019.00040,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8887384,AIMED;Genetic Programming;Malware;Perturbations;Adversarial Learning,Malware;Perturbation methods;Security;Genetic algorithms;Neural networks;Machine learning;Sociology,genetic algorithms;invasive software;learning (artificial intelligence);program diagnostics,arcade learning;static learning classifiers;machine learning approach;GP;adversarial malware examples;genetic algorithms;malware classifiers;adversarial malware samples;individual malware scanners;evolving malware;genetic programming;automatic intelligent malware modifications to evade detection;AIMED method,,17.0,,39.0,IEEE,31 Oct 2019,,,IEEE,IEEE Conferences,False,True,True,
Intrusion Detection System for 5G with a Focus on DOS/DDOS Attacks,G. Iashvili; M. Iavich; R. Bocu; R. Odarchenko; S. Gnatyuk,"Caucasus University, Tbilisi, Georgia; Caucasus University, Tbilisi, Georgia; Transilvania University of Braşov, Braşov, Romania; National Aviation University, Kyiv, Ukraine; National Aviation University, Kyiv, Ukraine",2021 11th IEEE International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications (IDAACS),5 Jan 2022,2021.0,2,,861,864,"The industry of telecommunications is being transformed towards 5G technology, because it has to deal with the emerging and existing use cases. Because, 5G wireless networks need rather large data rates and much higher coverage of the dense base station deployment with the bigger capacity, much better Quality of Service - QoS, and the need very low latency [1–3]. The provision of the needed services which are envisioned by 5G technologies need the new service models of deployment, networking architectures, processing technologies and storage to be defined. These technologies will cause the new problems for the cybersecurity of 5G systems and the security of their functionality. The developers and researchers working in this field make their best to secure 5G systems. The researchers showed that 5G systems have the security challenges. The researchers found the vulnerabilities in 5G systems which allow attackers to integrate malicious code into the system and make the different types of the illegitimate actions. MNmap, Battery drain attacks and MiTM can be successfully implemented on 5G. The paper makes the analysis of the existing cyber security problems in 5G technology. Based on the analysis, we suggest the novel Intrusion Detection System - IDS by means of the machine-learning algorithms. In the related papers the scientists offer to use NSL-KDD in order to train IDS. In our paper we offer to train IDS using the big datasets of DOS/DDOS attacks, besides of training using NSL-KDD. The research also offers the methodology of integration of the offered intrusion detection systems into an standard architecture of 5G. The paper also offers the pseudo code of the designed system.",2770-4254,978-1-6654-2605-3,10.1109/IDAACS53288.2021.9661021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9661021,5G;security;intrusion detection systems;ids,Industries;Training;Machine learning algorithms;5G mobile communication;Wireless networks;Intrusion detection;Quality of service,5G mobile communication;learning (artificial intelligence);quality of service;telecommunication security,DDOS attacks;5G technology;quality of service;5G wireless networks;intrusion detection systems;NSL-KDD;novel Intrusion Detection System;existing cyber security problems;Battery drain attacks;malicious code;dense base station deployment;data rates,,3.0,,8.0,IEEE,5 Jan 2022,,,IEEE,IEEE Conferences,False,True,True,
Identifying cryptographic functionality in Android applications,A. Oprisnik; D. Hein; P. Teufl,"Institute for Applied Information Processing and Communications Graz University of Technology, Graz, Austria; Institute for Applied Information Processing and Communications Graz University of Technology, Graz, Austria; Technische Universitat Graz, Graz, Steiermark, AT",2014 11th International Conference on Security and Cryptography (SECRYPT),14 Jul 2016,2014.0,,,1,12,"Mobile devices in corporate IT infrastructures are frequently used to process security-critical data. Over the past few years powerful security features have been added to mobile platforms. However, for legal and organisational reasons it is difficult to pervasively enforce using these features in consumer applications or Bring-Your-Own-Device (BYOD) scenarios. Thus application developers need to integrate custom implementations of security features such as encryption in security-critical applications. Our manual analysis of container applications and password managers has shown that custom implementations of cryptographic functionality often suffer from critical mistakes. During manual analysis, finding the custom cryptographic code was especially time consuming. Therefore, we present the Semdroid framework for simplifying application analysis of Android applications. Here, we use Semdroid to apply machine-learning techniques for detecting non-standard symmetric and asymmetric cryptography implementations. The identified code fragments can be used as starting points for subsequent manual analysis. Thus manual analysis time is greatly reduced. The capabilities of Semdroid have been evaluated on 98 password-safe applications downloaded from Google Play. Our evaluation shows the applicability of Semdroid and its potential to significantly improve future application analysis processes.",,978-9-8985-6595-2,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7509482,Mobile Application Security;Machine Learning;Detection of Cryptographic Code;Container Applications;Password Managers;Data Encryption on Mobile Devices;Semantic Pattern Transformation;Correct Deployment of Symmetric and Asymmetric Cryptography,Androids;Humanoid robots;Encryption;Mobile handsets;Semantics,Android (operating system);Bring Your Own Device;cryptography;learning (artificial intelligence);mobile computing,cryptographic functionality identification;Android applications;mobile devices;corporate IT infrastructures;security-critical data processing;consumer applications;bring-your-own-device scenarios;BYOD scenarios;encryption;container applications;password managers;custom implementations;custom cryptographic code;Semdroid framework;machine-learning techniques;nonstandard symmetric cryptography implementation detection;nonstandard asymmetric cryptography implementation detection;code fragment identification;manual analysis time reduction;password-safe applications;Google Play,,,,16.0,,14 Jul 2016,,,IEEE,IEEE Conferences,True,True,True,
