Metric,Value,Dataset,Model Config
F1 score,69.03,GitHub Archive Dataset,RF (binary) (R4- R2 + Identifiers numbering)
Accuracy,65.66,GitHub Archive Dataset,RF (binary) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.3223,GitHub Archive Dataset,RF (binary) (R4- R2 + Identifiers numbering)
Precision,78.66,Russell et al Dataset,RF (binary) (R0- baseline tokenizer)
Recall,2.97,Russell et al Dataset,RF (binary) (R0- baseline tokenizer)
F1 score,5.72,Russell et al Dataset,RF (binary) (R0- baseline tokenizer)
Accuracy,96.23,Russell et al Dataset,RF (binary) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),0.1482,Russell et al Dataset,RF (binary) (R0- baseline tokenizer)
Precision,79.89,Russell et al Dataset,RF (binary) (R1- Augmented R0)
Recall,3.47,Russell et al Dataset,RF (binary) (R1- Augmented R0)
F1 score,6.65,Russell et al Dataset,RF (binary) (R1- Augmented R0)
Accuracy,96.24,Russell et al Dataset,RF (binary) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),0.1618,Russell et al Dataset,RF (binary) (R1- Augmented R0)
Precision,76.09,Russell et al Dataset,RF (binary) (R2- R1 + Integer values)
Recall,4.02,Russell et al Dataset,RF (binary) (R2- R1 + Integer values)
F1 score,7.64,Russell et al Dataset,RF (binary) (R2- R1 + Integer values)
Accuracy,96.25,Russell et al Dataset,RF (binary) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),0.1695,Russell et al Dataset,RF (binary) (R2- R1 + Integer values)
Precision,76.97,Russell et al Dataset,RF (binary) (R3- R1 + Identifiers numbering)
Recall,2.69,Russell et al Dataset,RF (binary) (R3- R1 + Identifiers numbering)
F1 score,5.2,Russell et al Dataset,RF (binary) (R3- R1 + Identifiers numbering)
Accuracy,96.22,Russell et al Dataset,RF (binary) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.1395,Russell et al Dataset,RF (binary) (R3- R1 + Identifiers numbering)
Precision,75.76,Russell et al Dataset,RF (binary) (R4- R2 + Identifiers numbering)
Recall,2.87,Russell et al Dataset,RF (binary) (R4- R2 + Identifiers numbering)
F1 score,5.54,Russell et al Dataset,RF (binary) (R4- R2 + Identifiers numbering)
Accuracy,96.22,Russell et al Dataset,RF (binary) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.1429,Russell et al Dataset,RF (binary) (R4- R2 + Identifiers numbering)
Precision,100,Juliet,AutoML (binary) (R0- baseline tokenizer)
Recall,100,Juliet,AutoML (binary) (R0- baseline tokenizer)
F1 score,100,Juliet,AutoML (binary) (R0- baseline tokenizer)
Accuracy,100,Juliet,AutoML (binary) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),1,Juliet,AutoML (binary) (R0- baseline tokenizer)
Precision,100,Juliet,AutoML (binary) (R1- Augmented R0)
Recall,100,Juliet,AutoML (binary) (R1- Augmented R0)
F1 score,100,Juliet,AutoML (binary) (R1- Augmented R0)
Accuracy,100,Juliet,AutoML (binary) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),1,Juliet,AutoML (binary) (R1- Augmented R0)
Precision,100,Juliet,AutoML (binary) (R2- R1 + Integer values)
Recall,100,Juliet,AutoML (binary) (R2- R1 + Integer values)
F1 score,100,Juliet,AutoML (binary) (R2- R1 + Integer values)
Accuracy,100,Juliet,AutoML (binary) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),1,Juliet,AutoML (binary) (R2- R1 + Integer values)
Precision,100,Juliet,AutoML (binary) (R3- R1 + Identifiers numbering)
Recall,100,Juliet,AutoML (binary) (R3- R1 + Identifiers numbering)
F1 score,100,Juliet,AutoML (binary) (R3- R1 + Identifiers numbering)
Accuracy,100,Juliet,AutoML (binary) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),1,Juliet,AutoML (binary) (R3- R1 + Identifiers numbering)
Precision,100,Juliet,AutoML (binary) (R4- R2 + Identifiers numbering)
Recall,100,Juliet,AutoML (binary) (R4- R2 + Identifiers numbering)
F1 score,100,Juliet,AutoML (binary) (R4- R2 + Identifiers numbering)
Accuracy,100,Juliet,AutoML (binary) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),1,Juliet,AutoML (binary) (R4- R2 + Identifiers numbering)
Precision,50.05,GitHub Archive Dataset,AutoML (binary) (R0- baseline tokenizer)
Recall,37.54,GitHub Archive Dataset,AutoML (binary) (R0- baseline tokenizer)
F1 score,42.9,GitHub Archive Dataset,AutoML (binary) (R0- baseline tokenizer)
Accuracy,50.59,GitHub Archive Dataset,AutoML (binary) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),0.0093,GitHub Archive Dataset,AutoML (binary) (R0- baseline tokenizer)
Precision,58.82,GitHub Archive Dataset,AutoML (binary) (R1- Augmented R0)
Recall,0.45,GitHub Archive Dataset,AutoML (binary) (R1- Augmented R0)
F1 score,0.89,GitHub Archive Dataset,AutoML (binary) (R1- Augmented R0)
Accuracy,50.61,GitHub Archive Dataset,AutoML (binary) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),0.0115,GitHub Archive Dataset,AutoML (binary) (R1- Augmented R0)
Precision,51.92,GitHub Archive Dataset,AutoML (binary) (R2- R1 + Integer values)
Recall,0.6,GitHub Archive Dataset,AutoML (binary) (R2- R1 + Integer values)
F1 score,1.18,GitHub Archive Dataset,AutoML (binary) (R2- R1 + Integer values)
Accuracy,51.09,GitHub Archive Dataset,AutoML (binary) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),0.0045,GitHub Archive Dataset,AutoML (binary) (R2- R1 + Integer values)
Precision,53.31,GitHub Archive Dataset,AutoML (binary) (R3- R1 + Identifiers numbering)
Recall,87.55,GitHub Archive Dataset,AutoML (binary) (R3- R1 + Identifiers numbering)
F1 score,66.27,GitHub Archive Dataset,AutoML (binary) (R3- R1 + Identifiers numbering)
Accuracy,56.6,GitHub Archive Dataset,AutoML (binary) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.181,GitHub Archive Dataset,AutoML (binary) (R3- R1 + Identifiers numbering)
Precision,57.46,GitHub Archive Dataset,AutoML (binary) (R4- R2 + Identifiers numbering)
Recall,88.6,GitHub Archive Dataset,AutoML (binary) (R4- R2 + Identifiers numbering)
F1 score,69.71,GitHub Archive Dataset,AutoML (binary) (R4- R2 + Identifiers numbering)
Accuracy,62.23,GitHub Archive Dataset,AutoML (binary) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.2963,GitHub Archive Dataset,AutoML (binary) (R4- R2 + Identifiers numbering)
Precision,53.33,Russell et al Dataset,AutoML (binary) (R0- baseline tokenizer)
Recall,0.41,Russell et al Dataset,AutoML (binary) (R0- baseline tokenizer)
F1 score,0.82,Russell et al Dataset,AutoML (binary) (R0- baseline tokenizer)
Accuracy,96.08,Russell et al Dataset,AutoML (binary) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),0.0443,Russell et al Dataset,AutoML (binary) (R0- baseline tokenizer)
Precision,42.32,Russell et al Dataset,AutoML (binary) (R1- Augmented R0)
Recall,10.28,Russell et al Dataset,AutoML (binary) (R1- Augmented R0)
F1 score,16.54,Russell et al Dataset,AutoML (binary) (R1- Augmented R0)
Accuracy,95.99,Russell et al Dataset,AutoML (binary) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),0.1942,Russell et al Dataset,AutoML (binary) (R1- Augmented R0)
Precision,43.64,Russell et al Dataset,AutoML (binary) (R2- R1 + Integer values)
Recall,5.63,Russell et al Dataset,AutoML (binary) (R2- R1 + Integer values)
F1 score,9.98,Russell et al Dataset,AutoML (binary) (R2- R1 + Integer values)
Accuracy,96.09,Russell et al Dataset,AutoML (binary) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),0.1462,Russell et al Dataset,AutoML (binary) (R2- R1 + Integer values)
Precision,47.1,Russell et al Dataset,AutoML (binary) (R3- R1 + Identifiers numbering)
Recall,1.88,Russell et al Dataset,AutoML (binary) (R3- R1 + Identifiers numbering)
F1 score,3.61,Russell et al Dataset,AutoML (binary) (R3- R1 + Identifiers numbering)
Accuracy,96.1,Russell et al Dataset,AutoML (binary) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.0881,Russell et al Dataset,AutoML (binary) (R3- R1 + Identifiers numbering)
Precision,64.5,Russell et al Dataset,AutoML (binary) (R4- R2 + Identifiers numbering)
Recall,3.33,Russell et al Dataset,AutoML (binary) (R4- R2 + Identifiers numbering)
F1 score,6.33,Russell et al Dataset,AutoML (binary) (R4- R2 + Identifiers numbering)
Accuracy,96.18,Russell et al Dataset,AutoML (binary) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.1406,Russell et al Dataset,AutoML (binary) (R4- R2 + Identifiers numbering)
Precision,100,Juliet,CNN (binary) (R0- baseline tokenizer)
Recall,100,Juliet,CNN (binary) (R0- baseline tokenizer)
F1 score,100,Juliet,CNN (binary) (R0- baseline tokenizer)
Accuracy,100,Juliet,CNN (binary) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),1,Juliet,CNN (binary) (R0- baseline tokenizer)
Precision,100,Juliet,CNN (binary) (R1- Augmented R0)
Recall,100,Juliet,CNN (binary) (R1- Augmented R0)
F1 score,100,Juliet,CNN (binary) (R1- Augmented R0)
Accuracy,100,Juliet,CNN (binary) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),1,Juliet,CNN (binary) (R1- Augmented R0)
Precision,100,Juliet,CNN (binary) (R2- R1 + Integer values)
Recall,100,Juliet,CNN (binary) (R2- R1 + Integer values)
F1 score,100,Juliet,CNN (binary) (R2- R1 + Integer values)
Accuracy,100,Juliet,CNN (binary) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),1,Juliet,CNN (binary) (R2- R1 + Integer values)
Precision,100,Juliet,CNN (binary) (R3- R1 + Identifiers numbering)
Recall,100,Juliet,CNN (binary) (R3- R1 + Identifiers numbering)
F1 score,100,Juliet,CNN (binary) (R3- R1 + Identifiers numbering)
Accuracy,100,Juliet,CNN (binary) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),1,Juliet,CNN (binary) (R3- R1 + Identifiers numbering)
Precision,100,Juliet,CNN (binary) (R4- R2 + Identifiers numbering)
Recall,100,Juliet,CNN (binary) (R4- R2 + Identifiers numbering)
F1 score,100,Juliet,CNN (binary) (R4- R2 + Identifiers numbering)
Accuracy,100,Juliet,CNN (binary) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),1,Juliet,CNN (binary) (R4- R2 + Identifiers numbering)
Precision,62.72,GitHub Archive Dataset,CNN (binary) (R0- baseline tokenizer)
Recall,64.15,GitHub Archive Dataset,CNN (binary) (R0- baseline tokenizer)
F1 score,63.43,GitHub Archive Dataset,CNN (binary) (R0- baseline tokenizer)
Accuracy,62.91,GitHub Archive Dataset,CNN (binary) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),0.2583,GitHub Archive Dataset,CNN (binary) (R0- baseline tokenizer)
Precision,65.71,GitHub Archive Dataset,CNN (binary) (R1- Augmented R0)
Recall,65.58,GitHub Archive Dataset,CNN (binary) (R1- Augmented R0)
F1 score,65.65,GitHub Archive Dataset,CNN (binary) (R1- Augmented R0)
Accuracy,65.57,GitHub Archive Dataset,CNN (binary) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),0.3113,GitHub Archive Dataset,CNN (binary) (R1- Augmented R0)
Precision,61.2,GitHub Archive Dataset,CNN (binary) (R2- R1 + Integer values)
Recall,62.67,GitHub Archive Dataset,CNN (binary) (R2- R1 + Integer values)
F1 score,61.92,GitHub Archive Dataset,CNN (binary) (R2- R1 + Integer values)
Accuracy,61.42,GitHub Archive Dataset,CNN (binary) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),0.2885,GitHub Archive Dataset,CNN (binary) (R2- R1 + Integer values)
Precision,61.71,GitHub Archive Dataset,CNN (binary) (R3- R1 + Identifiers numbering)
Recall,62.63,GitHub Archive Dataset,CNN (binary) (R3- R1 + Identifiers numbering)
F1 score,62.17,GitHub Archive Dataset,CNN (binary) (R3- R1 + Identifiers numbering)
Accuracy,62.07,GitHub Archive Dataset,CNN (binary) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.2414,GitHub Archive Dataset,CNN (binary) (R3- R1 + Identifiers numbering)
Precision,63.18,GitHub Archive Dataset,CNN (binary) (R4- R2 + Identifiers numbering)
Recall,64.8,GitHub Archive Dataset,CNN (binary) (R4- R2 + Identifiers numbering)
F1 score,63.98,GitHub Archive Dataset,CNN (binary) (R4- R2 + Identifiers numbering)
Accuracy,63.69,GitHub Archive Dataset,CNN (binary) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.2739,GitHub Archive Dataset,CNN (binary) (R4- R2 + Identifiers numbering)
Precision,74.14,Russell et al Dataset,CNN (binary) (R0- baseline tokenizer)
Recall,0.99,Russell et al Dataset,CNN (binary) (R0- baseline tokenizer)
F1 score,1.95,Russell et al Dataset,CNN (binary) (R0- baseline tokenizer)
Accuracy,96.17,Russell et al Dataset,CNN (binary) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),0.0828,Russell et al Dataset,CNN (binary) (R0- baseline tokenizer)
Precision,72.58,Russell et al Dataset,CNN (binary) (R1- Augmented R0)
Recall,1.03,Russell et al Dataset,CNN (binary) (R1- Augmented R0)
F1 score,2.04,Russell et al Dataset,CNN (binary) (R1- Augmented R0)
Accuracy,96.17,Russell et al Dataset,CNN (binary) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),0.0837,Russell et al Dataset,CNN (binary) (R1- Augmented R0)
Precision,61.19,Russell et al Dataset,CNN (binary) (R2- R1 + Integer values)
Recall,0.94,Russell et al Dataset,CNN (binary) (R2- R1 + Integer values)
F1 score,1.86,Russell et al Dataset,CNN (binary) (R2- R1 + Integer values)
Accuracy,96.16,Russell et al Dataset,CNN (binary) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),0.0726,Russell et al Dataset,CNN (binary) (R2- R1 + Integer values)
Precision,59.49,Russell et al Dataset,CNN (binary) (R3- R1 + Identifiers numbering)
Recall,1.08,Russell et al Dataset,CNN (binary) (R3- R1 + Identifiers numbering)
F1 score,2.12,Russell et al Dataset,CNN (binary) (R3- R1 + Identifiers numbering)
Accuracy,96.16,Russell et al Dataset,CNN (binary) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.0765,Russell et al Dataset,CNN (binary) (R3- R1 + Identifiers numbering)
Precision,62.07,Russell et al Dataset,CNN (binary) (R4- R2 + Identifiers numbering)
Recall,1.24,Russell et al Dataset,CNN (binary) (R4- R2 + Identifiers numbering)
F1 score,2.43,Russell et al Dataset,CNN (binary) (R4- R2 + Identifiers numbering)
Accuracy,96.16,Russell et al Dataset,CNN (binary) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.084,Russell et al Dataset,CNN (binary) (R4- R2 + Identifiers numbering)
Precision,100,Juliet,RNN (binary) (R0- baseline tokenizer)
Recall,100,Juliet,RNN (binary) (R0- baseline tokenizer)
F1 score,100,Juliet,RNN (binary) (R0- baseline tokenizer)
Accuracy,100,Juliet,RNN (binary) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),1,Juliet,RNN (binary) (R0- baseline tokenizer)
Precision,100,Juliet,RNN (binary) (R1- Augmented R0)
Recall,100,Juliet,RNN (binary) (R1- Augmented R0)
F1 score,100,Juliet,RNN (binary) (R1- Augmented R0)
Accuracy,100,Juliet,RNN (binary) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),1,Juliet,RNN (binary) (R1- Augmented R0)
Precision,100,Juliet,RNN (binary) (R2- R1 + Integer values)
Recall,100,Juliet,RNN (binary) (R2- R1 + Integer values)
F1 score,100,Juliet,RNN (binary) (R2- R1 + Integer values)
Accuracy,100,Juliet,RNN (binary) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),1,Juliet,RNN (binary) (R2- R1 + Integer values)
Precision,100,Juliet,RNN (binary) (R3- R1 + Identifiers numbering)
Recall,100,Juliet,RNN (binary) (R3- R1 + Identifiers numbering)
F1 score,100,Juliet,RNN (binary) (R3- R1 + Identifiers numbering)
Accuracy,100,Juliet,RNN (binary) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),1,Juliet,RNN (binary) (R3- R1 + Identifiers numbering)
Precision,100,Juliet,RNN (binary) (R4- R2 + Identifiers numbering)
Recall,100,Juliet,RNN (binary) (R4- R2 + Identifiers numbering)
F1 score,100,Juliet,RNN (binary) (R4- R2 + Identifiers numbering)
Accuracy,100,Juliet,RNN (binary) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),1,Juliet,RNN (binary) (R4- R2 + Identifiers numbering)
Precision,52.21,GitHub Archive Dataset,RNN (binary) (R0- baseline tokenizer)
Recall,54.66,GitHub Archive Dataset,RNN (binary) (R0- baseline tokenizer)
F1 score,53.41,GitHub Archive Dataset,RNN (binary) (R0- baseline tokenizer)
Accuracy,52.19,GitHub Archive Dataset,RNN (binary) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),0.0437,GitHub Archive Dataset,RNN (binary) (R0- baseline tokenizer)
Precision,54.29,GitHub Archive Dataset,RNN (binary) (R1- Augmented R0)
Recall,16.66,GitHub Archive Dataset,RNN (binary) (R1- Augmented R0)
F1 score,25.49,GitHub Archive Dataset,RNN (binary) (R1- Augmented R0)
Accuracy,51.25,GitHub Archive Dataset,RNN (binary) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),0.0359,GitHub Archive Dataset,RNN (binary) (R1- Augmented R0)
Precision,50.49,GitHub Archive Dataset,RNN (binary) (R2- R1 + Integer values)
Recall,92.91,GitHub Archive Dataset,RNN (binary) (R2- R1 + Integer values)
F1 score,65.43,GitHub Archive Dataset,RNN (binary) (R2- R1 + Integer values)
Accuracy,50.85,GitHub Archive Dataset,RNN (binary) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),0.0296,GitHub Archive Dataset,RNN (binary) (R2- R1 + Integer values)
Precision,62.69,GitHub Archive Dataset,RNN (binary) (R3- R1 + Identifiers numbering)
Recall,97.3,GitHub Archive Dataset,RNN (binary) (R3- R1 + Identifiers numbering)
F1 score,76.25,GitHub Archive Dataset,RNN (binary) (R3- R1 + Identifiers numbering)
Accuracy,69.84,GitHub Archive Dataset,RNN (binary) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.4762,GitHub Archive Dataset,RNN (binary) (R3- R1 + Identifiers numbering)
Precision,50.87,GitHub Archive Dataset,RNN (binary) (R4- R2 + Identifiers numbering)
Recall,35.52,GitHub Archive Dataset,RNN (binary) (R4- R2 + Identifiers numbering)
F1 score,41.83,GitHub Archive Dataset,RNN (binary) (R4- R2 + Identifiers numbering)
Accuracy,50.84,GitHub Archive Dataset,RNN (binary) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.0161,GitHub Archive Dataset,RNN (binary) (R4- R2 + Identifiers numbering)
Precision,62.7,Russell et al Dataset,RNN (binary) (R0- baseline tokenizer)
Recall,1.82,Russell et al Dataset,RNN (binary) (R0- baseline tokenizer)
F1 score,3.53,Russell et al Dataset,RNN (binary) (R0- baseline tokenizer)
Accuracy,96.17,Russell et al Dataset,RNN (binary) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),0.1022,Russell et al Dataset,RNN (binary) (R0- baseline tokenizer)
Precision,53.21,Russell et al Dataset,RNN (binary) (R1- Augmented R0)
Recall,2.67,Russell et al Dataset,RNN (binary) (R1- Augmented R0)
F1 score,5.08,Russell et al Dataset,RNN (binary) (R1- Augmented R0)
Accuracy,96.15,Russell et al Dataset,RNN (binary) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),0.1128,Russell et al Dataset,RNN (binary) (R1- Augmented R0)
Precision,50.55,Russell et al Dataset,RNN (binary) (R2- R1 + Integer values)
Recall,3.15,Russell et al Dataset,RNN (binary) (R2- R1 + Integer values)
F1 score,5.93,Russell et al Dataset,RNN (binary) (R2- R1 + Integer values)
Accuracy,96.14,Russell et al Dataset,RNN (binary) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),0.119,Russell et al Dataset,RNN (binary) (R2- R1 + Integer values)
Precision,50.43,Russell et al Dataset,RNN (binary) (R3- R1 + Identifiers numbering)
Recall,2.69,Russell et al Dataset,RNN (binary) (R3- R1 + Identifiers numbering)
F1 score,5.11,Russell et al Dataset,RNN (binary) (R3- R1 + Identifiers numbering)
Accuracy,96.14,Russell et al Dataset,RNN (binary) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.1098,Russell et al Dataset,RNN (binary) (R3- R1 + Identifiers numbering)
Precision,48.32,Russell et al Dataset,RNN (binary) (R4- R2 + Identifiers numbering)
Recall,2.64,Russell et al Dataset,RNN (binary) (R4- R2 + Identifiers numbering)
F1 score,5.01,Russell et al Dataset,RNN (binary) (R4- R2 + Identifiers numbering)
Accuracy,96.14,Russell et al Dataset,RNN (binary) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.1062,Russell et al Dataset,RNN (binary) (R4- R2 + Identifiers numbering)
Precision,99.91,Juliet,RF (multi-class) (R0- baseline tokenizer)
Recall,99.65,Juliet,RF (multi-class) (R0- baseline tokenizer)
F1 score,99.78,Juliet,RF (multi-class) (R0- baseline tokenizer)
Accuracy,99.87,Juliet,RF (multi-class) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),0.9977,Juliet,RF (multi-class) (R0- baseline tokenizer)
Precision,99.78,Juliet,RF (multi-class) (R1- Augmented R0)
Recall,99.72,Juliet,RF (multi-class) (R1- Augmented R0)
F1 score,99.75,Juliet,RF (multi-class) (R1- Augmented R0)
Accuracy,99.91,Juliet,RF (multi-class) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),0.9985,Juliet,RF (multi-class) (R1- Augmented R0)
Precision,99.98,Juliet,RF (multi-class) (R2- R1 + Integer values)
Recall,99.57,Juliet,RF (multi-class) (R2- R1 + Integer values)
F1 score,99.77,Juliet,RF (multi-class) (R2- R1 + Integer values)
Accuracy,99.91,Juliet,RF (multi-class) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),0.9985,Juliet,RF (multi-class) (R2- R1 + Integer values)
Precision,99.74,Juliet,RF (multi-class) (R3- R1 + Identifiers numbering)
Recall,99.37,Juliet,RF (multi-class) (R3- R1 + Identifiers numbering)
F1 score,99.55,Juliet,RF (multi-class) (R3- R1 + Identifiers numbering)
Accuracy,99.78,Juliet,RF (multi-class) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.9962,Juliet,RF (multi-class) (R3- R1 + Identifiers numbering)
Precision,99.69,Juliet,RF (multi-class) (R4- R2 + Identifiers numbering)
Recall,99.37,Juliet,RF (multi-class) (R4- R2 + Identifiers numbering)
F1 score,99.52,Juliet,RF (multi-class) (R4- R2 + Identifiers numbering)
Accuracy,99.78,Juliet,RF (multi-class) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.9962,Juliet,RF (multi-class) (R4- R2 + Identifiers numbering)
Precision,65.1,GitHub Archive Dataset,RF (multi-class) (R0- baseline tokenizer)
Recall,53.2,GitHub Archive Dataset,RF (multi-class) (R0- baseline tokenizer)
F1 score,57.38,GitHub Archive Dataset,RF (multi-class) (R0- baseline tokenizer)
Accuracy,64.53,GitHub Archive Dataset,RF (multi-class) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),0.4692,GitHub Archive Dataset,RF (multi-class) (R0- baseline tokenizer)
